Date,INJCJC,INJCJC4
5-Jan-90,355,362.25
12-Jan-90,369,365.75
19-Jan-90,375,364.25
26-Jan-90,345,361
2-Feb-90,368,364.25
9-Feb-90,367,363.75
16-Feb-90,348,357
23-Feb-90,350,358.25
2-Mar-90,351,354
9-Mar-90,349,349.5
16-Mar-90,349,349.75
23-Mar-90,331,345
30-Mar-90,346,343.75
6-Apr-90,367,348.25
13-Apr-90,357,350.25
20-Apr-90,360,357.5
27-Apr-90,363,361.75
4-May-90,354,358.5
11-May-90,355,358
18-May-90,353,356.25
25-May-90,359,355.25
1-Jun-90,368,358.75
8-Jun-90,359,359.75
15-Jun-90,359,361.25
22-Jun-90,362,362
29-Jun-90,364,361
6-Jul-90,362,361.75
13-Jul-90,367,363.75
20-Jul-90,370,365.75
27-Jul-90,369,367
3-Aug-90,369,368.75
10-Aug-90,381,372.25
17-Aug-90,393,378
24-Aug-90,394,384.25
31-Aug-90,392,390
7-Sep-90,390,392.25
14-Sep-90,395,392.75
21-Sep-90,389,391.5
28-Sep-90,404,394.5
5-Oct-90,404,398
12-Oct-90,422,404.75
19-Oct-90,435,416.25
26-Oct-90,440,425.25
2-Nov-90,430,431.75
9-Nov-90,448,438.25
16-Nov-90,447,441.25
23-Nov-90,462,446.75
30-Nov-90,451,452
7-Dec-90,449,452.25
14-Dec-90,447,452.25
21-Dec-90,474,455.25
28-Dec-90,454,456
4-Jan-91,415,447.5
11-Jan-91,437,445
18-Jan-91,445,437.75
25-Jan-91,462,439.75
1-Feb-91,483,456.75
8-Feb-91,480,467.5
15-Feb-91,474,474.75
22-Feb-91,499,484
1-Mar-91,488,485.25
8-Mar-91,499,490
15-Mar-91,498,496
22-Mar-91,509,498.5
29-Mar-91,499,501.25
5-Apr-91,452,489.5
12-Apr-91,477,484.25
19-Apr-91,478,476.5
26-Apr-91,462,467.25
3-May-91,451,467
10-May-91,446,459.25
17-May-91,448,451.75
24-May-91,443,447
31-May-91,432,442.25
7-Jun-91,441,441
14-Jun-91,429,436.25
21-Jun-91,423,431.25
28-Jun-91,418,427.75
5-Jul-91,422,423
12-Jul-91,420,420.75
19-Jul-91,408,417
26-Jul-91,423,418.25
2-Aug-91,438,422.25
