"","wage","education","experience","age","raceColor","dad_education","mom_education","rural","city","z1","z2","IQscore","logWage"
"191",951,12,10,28,0,NA,12,0,1,1,1,122,6.85751406254539
"2059",288,8,11,25,1,NA,7,1,0,0,1,NA,5.66296048013595
"2072",509,12,6,24,0,12,9,1,1,0,0,127,6.23244801655052
"945",647,18,5,29,0,12,12,0,1,0,1,110,6.4723462945009
"1920",225,10,11,27,1,5,5,1,0,0,1,NA,5.41610040220442
"1927",454,10,11,27,1,NA,1,1,0,0,1,NA,6.11809719804135
"1481",565,12,10,28,1,NA,NA,1,1,0,1,NA,6.33682573114644
"2571",479,13,15,34,0,7,12,1,1,0,1,NA,6.17170059741091
"437",615,16,7,29,0,12,12,0,1,1,1,113,6.42162226780652
"1265",641,12,16,34,0,4,8,0,0,0,1,92,6.46302945692067
"603",740,13,10,29,0,16,16,0,0,0,0,108,6.60665018619822
"2936",619,17,6,29,0,8,13,0,1,0,0,138,6.4281052726846
"1484",670,13,8,27,1,NA,NA,1,1,0,1,99,6.50727771238501
"1123",583,12,10,28,0,14,8,0,1,1,1,94,6.36818718635049
"2548",624,9,9,24,1,NA,7,1,0,1,0,NA,6.43615036836943
"2080",813,12,6,24,0,9,9,1,1,1,1,NA,6.70073110954781
"1072",480,11,8,25,0,10,8,0,0,0,0,NA,6.17378610390194
"1119",606,12,15,33,0,8,12,0,1,1,1,NA,6.40687998606931
"574",400,12,8,26,0,NA,12,0,0,0,1,117,5.99146454710798
"2341",740,12,6,24,0,8,11,0,0,0,0,NA,6.60665018619822
"11",225,9,13,28,0,11,12,0,1,1,1,84,5.41610040220442
"2783",500,10,18,34,0,7,12,1,1,1,0,70,6.21460809842219
"2061",673,12,14,32,0,NA,6,1,0,0,1,93,6.51174532964473
"755",668,6,19,31,0,3,3,0,1,1,1,NA,6.50428817353665
"1987",693,16,4,26,0,14,16,1,1,1,1,113,6.5410299991899
"1424",400,12,7,25,1,11,11,1,1,1,1,76,5.99146454710798
"2700",575,12,8,26,1,NA,NA,0,1,1,0,NA,6.35437004079735
"912",462,14,5,25,0,10,11,0,1,0,1,102,6.13556489108174
"2770",1282,16,6,28,0,12,12,1,1,1,0,98,7.15617663748062
"779",500,12,6,24,0,12,8,0,1,1,1,113,6.21460809842219
"1321",962,16,11,33,0,14,8,0,1,0,1,106,6.86901445066571
"2109",758,17,5,28,0,9,13,0,1,1,1,128,6.63068338564237
"2689",340,9,19,34,1,NA,NA,1,0,1,0,NA,5.82894561761021
"1528",425,11,11,28,0,6,6,1,1,1,1,71,6.05208916892442
"1490",913,14,9,29,0,NA,12,1,1,0,1,NA,6.81673588059497
"149",808,12,13,31,0,NA,7,0,1,0,1,105,6.69456205852109
"742",230,12,6,24,1,10,9,0,1,0,1,NA,5.4380793089232
"2345",548,12,16,34,0,8,10,0,0,0,0,96,6.30627528694802
"589",372,16,4,26,0,NA,NA,0,1,1,1,102,5.91889385427315
"2618",212,6,16,28,0,3,11,1,0,0,0,NA,5.35658627467201
"1083",625,12,10,28,0,NA,10,0,0,1,0,104,6.4377516497364
"802",750,13,7,26,0,8,11,0,1,0,1,96,6.62007320653036
"1752",283,7,19,32,0,NA,4,1,0,0,0,NA,5.64544689764324
"491",500,12,7,25,0,NA,12,0,1,0,1,89,6.21460809842219
"1451",540,12,7,25,1,12,9,1,1,1,1,99,6.29156913955832
"2857",356,9,15,30,1,7,8,1,0,1,0,NA,5.87493073085203
"1718",325,17,1,24,0,17,12,0,1,1,1,NA,5.78382518232974
"2344",1394,18,10,34,0,12,12,0,1,0,0,118,7.23993259132047
"1715",503,12,15,33,1,NA,NA,0,1,0,1,76,6.22059017009974
"1605",577,16,7,29,0,16,16,1,1,1,0,128,6.3578422665081
"2258",699,12,6,24,0,17,14,0,1,1,0,125,6.54965074223381
"421",325,13,6,25,0,12,12,0,1,1,1,93,5.78382518232974
"1161",721,15,9,30,0,13,12,0,1,1,1,105,6.58063913728495
"2377",411,12,7,25,0,11,10,0,1,0,1,108,6.01859321449623
"2806",300,11,14,31,1,NA,7,1,0,0,0,NA,5.7037824746562
"114",411,12,6,24,0,10,12,0,1,0,1,NA,6.01859321449623
"1977",435,13,9,28,0,NA,12,1,1,1,1,NA,6.07534603108868
"482",1402,14,13,33,0,10,10,0,1,1,1,NA,7.24565506759454
"344",401,12,9,27,0,11,9,0,1,1,1,89,5.99396142730657
"391",1709,18,6,30,0,16,16,0,1,1,1,134,7.44366368311559
"1154",722,16,4,26,0,12,12,0,1,1,1,101,6.58202513889283
"637",716,12,16,34,0,NA,1,0,0,1,1,NA,6.57368016696065
"2055",635,14,7,27,0,5,11,1,1,0,1,107,6.45362499889269
"464",528,18,2,26,0,8,12,0,1,1,1,125,6.26909628370626
"1004",481,16,11,33,0,NA,NA,0,0,1,0,121,6.17586727010576
"982",450,13,7,26,0,14,10,0,1,0,1,112,6.10924758276437
"1870",225,11,10,27,1,2,5,1,1,1,0,NA,5.41610040220442
"1194",721,12,6,24,1,NA,NA,0,1,1,1,70,6.58063913728495
"1966",519,13,15,34,0,NA,6,1,1,0,1,98,6.25190388316589
"2927",361,13,5,24,0,16,12,1,1,0,0,NA,5.88887795833288
"2658",633,13,7,26,0,NA,NA,1,1,0,1,115,6.45047042214418
"1001",393,12,7,25,0,12,NA,0,0,0,1,100,5.97380961186926
"756",286,15,6,27,0,12,12,0,1,1,1,89,5.65599181081985
"947",537,17,5,28,0,17,12,0,1,0,1,135,6.28599809450886
"1449",923,15,12,33,0,12,12,1,1,1,1,104,6.82762923450285
"56",571,12,6,24,0,NA,4,0,1,1,1,NA,6.34738920965601
"837",1155,14,7,27,0,16,16,0,1,0,1,111,7.05185562295589
"1932",296,8,18,32,0,8,6,1,0,0,1,NA,5.69035945432406
"381",962,18,5,29,0,12,16,0,1,1,1,126,6.86901445066571
"340",750,12,11,29,1,6,7,0,1,1,1,78,6.62007320653036
"95",816,17,7,30,0,12,13,0,1,1,1,125,6.70441435496411
"846",519,16,2,24,0,12,12,0,1,0,1,NA,6.25190388316589
"1691",313,13,8,27,0,18,16,1,0,0,1,84,5.74620319054015
"113",682,18,5,29,0,8,9,0,1,0,1,132,6.52502965784346
"2126",778,16,5,27,0,12,13,0,1,1,1,116,6.65672652417839
"2622",699,16,9,31,0,10,14,0,0,0,0,105,6.54965074223381
"2160",481,14,5,25,0,10,10,0,1,1,1,86,6.17586727010576
"1185",658,16,2,24,0,12,12,0,1,1,1,126,6.48920493132532
"241",389,12,8,26,1,9,10,0,1,0,1,67,5.96357934361845
"1238",635,18,3,27,0,11,10,0,0,0,1,112,6.45362499889269
"378",572,11,17,34,0,6,NA,0,1,1,1,122,6.3491389913798
"90",817,16,7,29,0,14,11,1,1,1,1,102,6.70563909486
"371",865,18,3,27,0,14,14,0,1,1,1,NA,6.76272950693188
"1043",588,12,10,28,0,NA,8,0,1,0,0,117,6.37672694789863
"716",240,10,9,25,0,5,8,1,0,0,1,NA,5.48063892334199
"1506",800,8,19,33,0,6,4,1,1,0,1,NA,6.68461172766793
"1654",127,12,6,24,1,NA,10,1,1,1,1,NA,4.84418708645859
"1301",691,12,6,24,0,11,12,0,1,0,0,98,6.53813982376767
"2979",200,12,12,30,1,NA,2,1,0,0,0,76,5.29831736654804
"979",570,12,9,27,0,8,12,0,1,0,1,100,6.3456363608286
"604",342,12,16,34,0,8,12,0,0,0,0,NA,5.8348107370626
"2885",245,12,6,24,1,4,7,1,0,1,0,NA,5.50125821054473
"7",565,18,9,33,0,14,14,0,1,1,1,119,6.33682573114644
"2717",445,7,12,25,1,2,NA,0,1,1,0,NA,6.09807428216624
"2412",417,17,1,24,0,14,13,0,1,0,0,NA,6.0330862217988
"958",833,17,5,28,0,11,12,0,1,0,1,117,6.72503364216684
"2123",390,10,9,25,0,7,9,0,1,1,1,NA,5.96614673912369
"404",875,13,11,30,0,12,12,0,1,1,1,85,6.77422388635761
"702",575,13,8,27,1,6,6,0,1,1,1,91,6.35437004079735
"2063",577,16,4,26,1,6,12,1,1,1,0,NA,6.3578422665081
"411",600,12,6,24,0,11,9,0,1,1,1,100,6.39692965521615
"2385",785,14,10,30,0,9,15,0,1,0,0,94,6.66568371778241
"1108",500,12,6,24,0,12,8,0,0,0,0,NA,6.21460809842219
"1264",372,12,7,25,0,5,6,0,0,0,1,101,5.91889385427315
"1573",818,10,10,26,0,NA,NA,1,1,1,1,85,6.70686233660275
"293",313,3,17,26,0,4,0,0,1,1,1,NA,5.74620319054015
"2215",650,8,20,34,0,3,2,0,0,0,1,NA,6.47697236288968
"1045",484,12,14,32,0,8,12,0,1,0,0,105,6.18208490671663
"2655",711,14,9,29,1,12,12,1,1,0,1,NA,6.56667242980324
"2087",438,12,14,32,0,NA,NA,1,1,1,1,104,6.08221891037645
"573",424,12,8,26,0,12,10,0,0,0,1,106,6.04973345523196
"524",638,12,10,28,0,NA,10,0,1,0,0,103,6.45833828334479
"1775",353,9,13,28,0,NA,7,1,1,0,0,NA,5.8664680569333
"578",1000,12,9,27,0,8,8,0,1,0,1,110,6.90775527898214
"2624",375,13,5,24,0,14,12,1,0,0,0,NA,5.92692602597041
"906",1925,12,15,33,0,NA,9,0,1,0,1,NA,7.56268124672188
"530",409,13,9,28,0,8,12,0,0,0,0,110,6.0137151560428
"2657",649,16,3,25,1,NA,16,1,1,0,1,101,6.47543271670409
"1187",721,12,6,24,0,8,8,0,1,1,1,102,6.58063913728495
"1768",548,13,11,30,1,6,1,1,0,0,0,NA,6.30627528694802
"111",460,13,8,27,0,NA,8,0,1,0,1,92,6.13122648948314
"2461",673,16,12,34,0,6,10,1,1,0,1,83,6.51174532964473
"1765",500,8,13,27,0,7,8,1,1,0,0,NA,6.21460809842219
"1315",571,12,8,26,0,12,11,0,1,0,0,101,6.34738920965601
"750",1282,16,12,34,0,12,12,0,1,1,1,112,7.15617663748062
"729",710,11,12,29,1,NA,11,0,1,0,1,86,6.56526497003536
"511",275,12,10,28,0,12,7,0,1,0,0,75,5.61677109766657
"1859",577,12,8,26,0,12,12,0,1,0,1,86,6.3578422665081
"626",305,12,9,27,0,NA,NA,0,0,0,1,NA,5.72031177660741
"73",576,12,7,25,0,12,9,0,1,1,1,86,6.35610766069589
"1928",945,16,3,25,0,16,12,1,1,0,1,106,6.85118492749374
"228",462,16,3,25,0,16,NA,0,0,1,1,117,6.13556489108174
"44",650,11,17,34,0,8,10,0,1,1,1,72,6.47697236288968
"638",192,10,16,32,1,NA,9,0,1,1,1,86,5.25749537202778
"961",542,10,10,26,0,9,11,0,1,0,1,74,6.29526600143965
"36",962,16,8,30,0,12,12,0,1,1,1,118,6.86901445066571
"445",365,13,8,27,0,18,12,0,1,1,1,107,5.89989735358249
"368",505,9,10,25,0,NA,0,0,1,1,1,NA,6.22455842927536
"481",839,11,7,24,0,NA,10,0,1,1,1,NA,6.73221070646721
"2633",433,11,9,26,1,8,9,1,1,0,0,NA,6.07073772800249
"1952",313,16,2,24,0,11,12,0,1,1,1,NA,5.74620319054015
"2865",300,13,10,29,0,12,14,1,0,1,0,116,5.7037824746562
"1822",385,14,11,31,0,12,12,1,1,0,0,105,5.95324333428778
"2369",345,15,7,28,0,10,12,0,1,0,1,NA,5.84354441703136
"1307",635,16,8,30,0,12,12,0,1,0,0,97,6.45362499889269
"1360",987,16,3,25,0,8,12,0,1,1,0,133,6.89467003943348
"2011",400,12,6,24,0,12,12,1,1,0,0,NA,5.99146454710798
"1331",650,13,7,26,0,16,12,0,1,0,0,108,6.47697236288968
"781",601,13,6,25,1,NA,8,0,1,1,1,NA,6.39859493453521
"24",604,12,10,28,0,14,12,0,1,0,1,NA,6.40357419793482
"62",213,9,9,24,1,12,11,0,1,1,1,NA,5.36129216570943
"665",712,14,7,27,0,NA,8,0,1,0,1,123,6.56807791141198
"2495",380,12,10,28,1,NA,NA,1,1,0,1,NA,5.94017125272043
"2648",355,16,2,24,0,18,15,1,0,1,0,117,5.87211778947542
"1164",929,16,10,32,0,8,10,0,1,1,1,113,6.83410873881384
"432",400,12,7,25,0,8,8,0,1,1,1,93,5.99146454710798
"1017",787,12,14,32,0,8,8,0,0,0,0,91,6.6682282484174
"1065",800,12,10,28,0,12,12,0,1,0,0,104,6.68461172766793
"1599",721,17,9,32,1,14,13,1,1,1,1,86,6.58063913728495
"876",384,14,9,29,0,NA,12,0,1,0,1,88,5.95064255258773
"2210",720,12,14,32,0,12,8,0,1,0,1,97,6.5792512120101
"2610",200,14,5,25,0,18,8,1,1,0,0,106,5.29831736654804
"1888",490,14,4,24,0,17,14,1,1,0,1,NA,6.19440539110467
"866",485,18,1,25,0,12,12,0,1,1,1,125,6.18414889093748
"2335",341,16,2,24,0,16,13,0,0,1,0,113,5.83188247728352
"1737",308,17,2,25,0,18,18,0,1,1,1,NA,5.73009978297357
"1470",780,12,7,25,0,3,8,1,1,1,1,NA,6.65929391968364
"1690",678,12,15,33,0,8,9,1,1,0,1,100,6.5191472879404
"870",793,15,11,32,0,15,12,0,1,1,1,103,6.67582322163485
"1825",404,12,7,25,0,NA,12,1,1,0,0,92,6.00141487796115
"1081",359,16,2,24,0,12,12,0,0,0,1,114,5.88332238848828
"1678",577,16,9,31,1,12,12,1,1,0,1,82,6.3578422665081
"2248",1038,15,13,34,0,NA,NA,0,1,0,1,95,6.94505106372583
"849",300,10,9,25,1,10,12,0,1,0,1,62,5.7037824746562
"560",740,12,9,27,0,11,12,0,0,1,0,92,6.60665018619822
"1435",554,16,11,33,0,18,16,1,1,0,1,113,6.31716468674728
"2862",364,7,18,31,1,NA,2,1,0,1,0,NA,5.89715386763674
"770",691,12,10,28,0,NA,NA,0,1,1,1,124,6.53813982376767
"1759",577,16,5,27,0,12,16,1,0,0,0,111,6.3578422665081
"962",823,12,10,28,0,11,11,0,0,0,1,91,6.71295620067707
"3009",713,12,13,31,0,NA,NA,1,0,0,1,107,6.5694814204143
"639",797,16,10,32,1,8,NA,0,1,1,1,NA,6.68085467879022
"128",383,16,3,25,0,5,4,0,1,0,1,NA,5.94803498918065
"2734",673,17,4,27,1,6,11,1,1,0,1,107,6.51174532964473
"2207",1282,18,10,34,0,16,13,0,1,0,1,84,7.15617663748062
"2417",641,16,10,32,0,7,12,0,0,0,0,NA,6.46302945692067
"1421",520,10,12,28,0,5,12,1,1,1,1,103,6.25382881157547
"2088",1106,12,15,33,0,16,10,1,1,1,1,66,7.00850518208228
"1204",230,16,3,25,0,8,12,0,1,1,1,120,5.4380793089232
"479",1154,12,10,28,0,8,12,0,1,1,1,117,7.05098944706805
"2434",751,17,5,28,0,8,8,0,1,0,0,79,6.62140565176413
"627",450,10,18,34,0,9,NA,0,0,0,1,84,6.10924758276437
"2613",714,12,12,30,0,5,7,1,1,0,0,95,6.57088296233958
"2963",409,7,15,28,1,NA,1,1,0,0,0,NA,6.0137151560428
"353",553,12,12,30,0,NA,7,0,1,1,1,112,6.31535800152233
"2171",657,12,15,33,0,12,12,0,0,1,1,102,6.48768401848461
"2367",423,13,10,29,0,NA,12,0,1,0,1,98,6.04737217904628
"453",865,17,5,28,0,NA,12,1,1,1,1,113,6.76272950693188
"739",456,14,6,26,0,16,16,0,1,0,1,NA,6.12249280951439
"2718",300,6,13,25,1,NA,6,1,0,1,0,NA,5.7037824746562
"1548",1502,18,8,32,0,14,9,1,1,1,1,132,7.31455283232408
"1418",880,17,4,27,0,12,14,1,1,1,1,110,6.77992190747225
"1916",465,16,11,33,1,NA,8,0,1,0,1,NA,6.14203740558736
"1593",745,14,12,32,1,7,8,1,1,1,1,NA,6.61338421837956
"1547",475,12,12,30,1,10,11,1,1,1,1,NA,6.16331480403464
"751",577,12,6,24,0,12,14,0,1,1,1,NA,6.3578422665081
"201",995,16,5,27,0,16,12,0,1,0,1,126,6.90274273715859
"2664",500,12,8,26,0,4,9,1,0,0,0,NA,6.21460809842219
"856",600,10,17,33,1,8,11,0,1,1,1,88,6.39692965521615
"540",504,14,9,29,0,12,12,1,1,0,1,95,6.22257626807137
"2971",351,11,7,24,0,4,7,1,0,0,0,NA,5.86078622346587
"2264",843,12,6,24,0,10,12,0,1,1,1,98,6.73696695800186
"1586",786,16,12,34,1,14,12,0,1,1,1,NA,6.66695679242921
"2447",1202,13,7,26,0,10,10,0,1,0,1,113,7.09174211509515
"562",458,15,8,29,0,9,10,0,1,1,0,126,6.12686918411419
"1455",200,16,3,25,0,18,16,1,1,1,1,121,5.29831736654804
"713",620,13,6,25,1,5,7,0,1,1,1,NA,6.42971947803914
"332",400,12,11,29,0,12,12,1,1,0,1,96,5.99146454710798
"2379",350,14,7,27,0,10,12,0,1,0,0,NA,5.85793315448346
"143",694,12,12,30,0,NA,12,0,1,0,1,102,6.5424719605068
"1767",462,13,5,24,0,12,11,1,0,0,0,NA,6.13556489108174
"1722",560,13,8,27,1,12,12,1,1,1,1,99,6.32793678372919
"514",488,14,6,26,0,12,12,1,1,0,0,112,6.19031540585315
"159",440,16,6,28,0,16,18,0,1,0,1,131,6.08677472691231
"1395",400,12,16,34,0,8,8,0,1,1,1,NA,5.99146454710798
"928",649,16,4,26,0,12,14,0,1,0,0,96,6.47543271670409
"2854",275,8,10,24,1,4,8,1,0,1,0,NA,5.61677109766657
"2117",1097,13,5,24,0,12,12,0,1,1,1,117,7.00033446027523
"2892",395,8,16,30,1,NA,5,1,0,1,0,NA,5.97888576490112
"681",577,16,2,24,0,12,12,0,1,0,1,113,6.3578422665081
"2889",289,16,3,25,1,8,12,0,1,1,0,65,5.66642668811243
"2271",548,17,1,24,0,13,7,0,1,1,1,126,6.30627528694802
"975",721,12,11,29,0,8,10,0,0,0,1,98,6.58063913728495
"1171",940,12,13,31,0,NA,12,0,1,1,1,110,6.84587987526405
"2325",470,17,2,25,0,18,12,0,1,1,1,104,6.1527326947041
"1326",710,12,6,24,0,8,10,0,0,1,0,99,6.56526497003536
"893",505,14,10,30,0,12,12,1,1,0,1,NA,6.22455842927536
"2496",616,16,5,27,1,10,12,1,1,0,1,NA,6.42324696353352
"2563",320,12,6,24,1,10,NA,0,1,0,1,76,5.76832099579377
"1254",913,12,14,32,0,8,12,0,0,0,1,101,6.81673588059497
"2351",540,13,8,27,0,12,12,0,0,0,1,93,6.29156913955832
