"Date","data.science"
"1/4/04",-0.44
"1/11/04",-0.474
"1/18/04",-0.423
"1/25/04",-0.551
"2/1/04",-0.486
"2/8/04",-0.551
"2/15/04",-0.453
"2/22/04",-0.462
"2/29/04",-0.551
"3/7/04",-0.551
"3/14/04",-0.466
"3/21/04",-0.551
"3/28/04",-0.447
"4/4/04",-0.551
"4/11/04",-0.551
"4/18/04",-0.494
"4/25/04",-0.483
"5/2/04",-0.551
"5/9/04",-0.551
"5/16/04",-0.551
"5/23/04",-0.431
"5/30/04",-0.488
"6/6/04",-0.491
"6/13/04",-0.466
"6/20/04",-0.551
"6/27/04",-0.551
"7/4/04",-0.462
"7/11/04",-0.48
"7/18/04",-0.457
"7/25/04",-0.444
"8/1/04",-0.492
"8/8/04",-0.459
"8/15/04",-0.471
"8/22/04",-0.473
"8/29/04",-0.496
"9/5/04",-0.473
"9/12/04",-0.448
"9/19/04",-0.5
"9/26/04",-0.551
"10/3/04",-0.428
"10/10/04",-0.453
"10/17/04",-0.482
"10/24/04",-0.459
"10/31/04",-0.493
"11/7/04",-0.478
"11/14/04",-0.485
"11/21/04",-0.494
"11/28/04",-0.469
"12/5/04",-0.479
"12/12/04",-0.494
"12/19/04",-0.551
"12/26/04",-0.551
"1/2/05",-0.488
"1/9/05",-0.49
"1/16/05",-0.463
"1/23/05",-0.475
"1/30/05",-0.551
"2/6/05",-0.493
"2/13/05",-0.451
"2/20/05",-0.487
"2/27/05",-0.551
"3/6/05",-0.51
"3/13/05",-0.485
"3/20/05",-0.453
"3/27/05",-0.511
"4/3/05",-0.463
"4/10/05",-0.502
"4/17/05",-0.551
"4/24/05",-0.473
"5/1/05",-0.488
"5/8/05",-0.488
"5/15/05",-0.479
"5/22/05",-0.502
"5/29/05",-0.508
"6/5/05",-0.486
"6/12/05",-0.426
"6/19/05",-0.492
"6/26/05",-0.509
"7/3/05",-0.49
"7/10/05",-0.503
"7/17/05",-0.495
"7/24/05",-0.464
"7/31/05",-0.496
"8/7/05",-0.505
"8/14/05",-0.497
"8/21/05",-0.489
"8/28/05",-0.551
"9/4/05",-0.513
"9/11/05",-0.489
"9/18/05",-0.489
"9/25/05",-0.503
