crimeRate_pc,nonRetailBusiness,withWater,ageHouse,distanceToCity,distanceToHighway,pupilTeacherRatio,pctLowIncome,homeValue,pollutionIndex,nBedRooms
37.6619,0.181,0,78.7,2.705847201,24,23.2,18,245250,52.9,4.202
0.57834,0.0397,0,67,4.116838712,5,16,9,1125000,42.5,6.297
0.04294,0.1504,0,77.3,7.815797211,4,21.2,13,463500,31.4,4.249
22.5971,0.181,0,89.5,1.950823202,24,23.2,41,166500,55,3
0.06642,0.0405,0,74.4,5.539788753,5,19.6,8,672750,36,4.86
0.11432,0.0856,0,71.3,5.360896897,5,23.9,9,596250,37,4.781
0.06417,0.0596,0,68.2,6.953522802,5,22.2,12,425250,34.9,3.933
1.6566,0.1958,0,97.3,2.159561755,5,17.7,18,483750,72.1,4.122
0.09103,0.0246,0,92.2,4.90158368,3,20.8,5,852750,33.8,5.155
2.01019,0.1958,0,96.2,3.14351143,5,17.7,4,1125000,45.5,5.929
0.06127,0.0641,1,27.6,12.56082754,4,20.6,5,744750,29.7,4.826
0.14932,0.0513,0,66.2,23.66895215,8,22.7,16,420750,30.3,3.741
0.19133,0.0586,0,70.2,27.6067676,7,22.1,23,416250,28.1,3.605
0.76162,0.0397,0,62.8,2.998760012,5,16,13,513000,49.7,3.56
0.11329,0.0493,0,54.3,19.18294301,6,19.6,14,495000,27.8,4.897
0.02875,0.1504,0,28.9,7.992616629,4,21.2,7,562500,31.4,4.211
0.02731,0.0707,0,78.9,12.99465176,2,20.8,11,486000,31.9,4.421
6.53876,0.181,1,97.5,1.343007222,24,23.2,3,1125000,48.1,5.016
0.10612,0.0493,0,65.1,19.18294301,6,19.6,15,452250,27.8,4.095
0.0459,0.0532,0,45.6,24.15193222,6,19.6,9,501750,25.5,4.315
0.66351,0.0397,0,100,2.779892826,5,16,9,810000,49.7,5.333
11.8123,0.181,0,76.5,2.547510026,24,23.2,29,189000,56.8,4.824
0.06899,0.2565,0,69.7,3.680153832,2,22.1,18,495000,43.1,3.87
0.0351,0.0268,0,33.2,13.6320274,4,17.7,4,1091250,26.61,5.853
0.03548,0.0364,0,19.1,34.96166306,1,19.4,11,470250,24.2,3.876
19.6091,0.181,0,97.9,1.552271951,24,23.2,17,337500,52.1,5.313
0.0315,0.0147,0,15.3,25.95177452,3,20,5,785250,25.3,4.975
0.22969,0.1059,0,52.5,10.528466,4,21.6,13,549000,33.9,4.326
0.32982,0.2189,0,95.4,4.249002555,4,24.2,19,414000,47.4,3.822
0.15098,0.1001,0,82.6,5.038195669,6,20.8,13,432000,39.7,4.021
0.05302,0.0341,0,63.1,7.133840372,2,20.8,7,645750,33.9,5.079
9.33889,0.181,0,95.6,2.954682119,24,23.2,31,213750,52.9,4.38
8.05579,0.181,0,95.4,4.139166003,24,23.2,23,310500,43.4,3.427
2.3004,0.1958,0,96.1,3.277561666,5,17.7,14,535500,45.5,4.319
0.35233,0.2189,0,98.4,2.675467256,4,24.2,18,384750,47.4,4.454
0.13117,0.0856,0,85.2,3.333677464,5,23.9,18,459000,37,4.127
0.13554,0.0607,0,36.8,19.9731945,4,21.9,16,391500,25.9,3.594
0.09378,0.0787,0,39,15.07818764,5,18.2,20,488250,37.4,3.889
0.15445,0.0513,0,29.2,26.83296033,8,22.7,8,524250,30.3,4.145
8.64476,0.181,0,92.6,2.541151331,24,23.2,19,310500,54.3,4.193
0.38214,0.062,0,86.5,6.480982384,8,20.4,3,846000,35.4,6.04
4.64689,0.181,0,67.6,4.42373263,24,23.2,14,670500,46.4,4.98
2.24236,0.1958,0,91.8,4.117926797,5,17.7,14,510750,45.5,3.854
0.03466,0.0606,0,23.3,20.67960207,1,19.9,9,436500,28.79,4.031
0.09164,0.1081,0,7.8,14.3606575,4,22.2,6,513000,26.3,4.065
0.14476,0.1001,0,65.2,5.072862491,6,20.8,17,434250,39.7,3.731
0.03502,0.0495,0,27.9,13.62648765,4,22.2,4,641250,26.1,4.861
1.00245,0.0814,0,87.3,10.08373599,4,24,15,472500,38.8,4.674
0.1146,0.0696,0,58.7,8.888212071,3,21.6,9,549000,31.4,4.538
0.20608,0.0586,0,76.5,27.6067676,7,22.1,15,396000,28.1,3.593
0.0795,0.0169,0,35.9,44.43064493,4,21.3,6,542250,26.1,4.579
1.38799,0.0814,0,82,9.152856071,4,24,35,297000,38.8,3.95
0.10008,0.0246,0,95.6,5.333593925,3,20.8,7,731250,33.8,4.563
5.44114,0.181,0,98.2,3.937716707,24,23.2,22,342000,56.3,4.655
0.01501,0.0201,0,29.7,29.79880668,4,20,7,551250,28.5,4.635
0.49298,0.099,0,82.5,6.812358435,4,21.4,5,513000,39.4,4.635
0.06664,0.0405,0,33.1,6.214144685,5,19.6,6,661500,36,4.546
0.03584,0.0337,0,17.8,20.53430478,4,19.1,5,528750,24.8,4.29
0.13058,0.1001,0,73.1,4.269940871,6,20.8,19,459000,39.7,3.872
0.04297,0.0532,0,22.9,24.15193222,6,19.6,12,558000,25.5,4.565
0.16902,0.2565,0,88.4,3.014232939,2,22.1,18,481500,43.1,3.986
0.01951,0.0138,0,59.5,34.97743834,3,21.6,10,742500,26.61,5.104
0.1415,0.0691,0,6.6,16.29082095,3,20.9,7,569250,29.8,4.169
0.98843,0.0814,0,100,9.542017011,4,24,25,326250,38.8,3.813
0.07244,0.0169,0,18.5,44.43064493,4,21.3,9,418500,26.1,3.884
0.11027,0.0513,0,67.8,23.66947628,8,22.7,8,499500,30.3,4.456
0.06047,0.0246,0,68.8,6.688590255,3,20.8,16,666000,33.8,4.153
11.1604,0.181,0,94.6,3.33945956,24,23.2,29,301500,59,4.629
5.66998,0.181,1,96.8,1.629198944,24,23.2,4,1125000,48.1,4.683
